t,x,y,z,roll,pitch,heading,u,v,w,p,q,r,lon,lat,left,right,bow_ver,bow_hor,stern_ver,stern_hor,elevator,rudder,
4.15000000,0.07724217,0.00000182,0.11900191,-0.00000110,0.01864475,6.28318186,0.05936754,0.00000159,-0.38761819,0.00000053,0.00248953,-0.00000012,0.00000000,0.00000070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.20000000,0.07984870,0.00000187,0.09956903,-0.00000107,0.01876922,6.28318185,0.05930421,0.00000142,-0.37055727,0.00000051,-0.00204188,-0.00000007,0.00000000,0.00000072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.25000000,0.08246565,0.00000191,0.08098878,-0.00000105,0.01866713,6.28318185,0.05853728,0.00000133,-0.34753527,0.00000049,-0.00696434,-0.00000004,0.00000000,0.00000074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.30000000,0.08506765,0.00000195,0.06356041,-0.00000102,0.01831891,6.28318185,0.05709325,0.00000121,-0.31823933,0.00000048,-0.01219526,-0.00000001,0.00000000,0.00000077,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.35000000,0.08763036,0.00000199,0.04759882,-0.00000100,0.01770915,6.28318185,0.05504554,0.00000103,-0.28267276,0.00000046,-0.01763580,-0.00000003,0.00000000,0.00000079,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.40000000,0.09013192,0.00000201,0.03341866,-0.00000098,0.01682736,6.28318185,0.05251528,0.00000074,-0.24104002,0.00000044,-0.02317852,-0.00000009,0.00000000,0.00000081,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.45000000,0.09255452,0.00000203,0.02132418,-0.00000096,0.01566843,6.28318184,0.04966646,0.00000045,-0.19376785,0.00000043,-0.02871052,-0.00000024,0.00000000,0.00000083,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.50000000,0.09488574,0.00000204,0.01159807,-0.00000093,0.01423291,6.28318183,0.04669709,0.00000012,-0.14151353,0.00000043,-0.03411691,-0.00000038,0.00000000,0.00000085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.55000000,0.09711966,0.00000203,0.00448988,-0.00000091,0.01252706,6.28318182,0.04382737,-0.00000003,-0.08516000,0.00000044,-0.03928347,-0.00000049,0.00000000,0.00000087,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.60000000,0.09925752,0.00000202,0.00020476,-0.00000089,0.01056289,6.28318179,0.04128527,-0.00000008,-0.02578471,0.00000045,-0.04409889,-0.00000064,0.00000000,0.00000089,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.65000000,0.10130805,0.00000200,-0.00110620,-0.00000087,0.00835794,6.28318176,0.03929060,-0.00000021,0.03535344,0.00000046,-0.04845518,-0.00000075,0.00000000,0.00000091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.70000000,0.10328728,0.00000199,0.00064499,-0.00000085,0.00593518,6.28318173,0.03803608,-0.00000032,0.09684852,0.00000046,-0.05212295,-0.00000092,0.00000000,0.00000093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
